식품명,지역 / 제조사,1회제공량,내용량_단위,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
꿩불고기,충주,500,g,368.8,33.5,8.5,39.7,16.9
닭갈비,전국(대표),400,g,595.61,45.9,25.8,44.9,21.2
닭갈비,춘천,300,g,558.47,45.5,31.6,23.1,8.5
닭꼬치,전국(대표),70,g,176.723,11.562,8.565,13.348,3.152
더덕구이,전국(대표),100,g,184,3.1,5.2,31.1,11.6
도미구이,전국(대표),250,g,397,61.1,16.5,2.1,0
돼지갈비,서울특별시 마포구,100,g,240.32,19.5,14.4,8.1,4.5
병어구이,전국(대표),250,g,488,54.6,30.8,0.2,0
불고기,광양,150,g,395.29,34.4,25.2,7.8,7.9
붕장어소금구이,고흥,100,g,296.54,26,16.2,11.6,0.4
소양념갈비구이,전국(대표),300,g,989.15,60.1,71.6,26.2,13.9
양념왕갈비,수원,150,g,480.81,27.1,35.3,13.7,6.8
양념장어구이,전국(대표),150,g,433.352,30.771,30.561,8.804,4.182
임연수구이,전국(대표),250,g,494,53.8,29.4,3.5,0
짚불구이곰장어,기장,200,g,326.21,42.7,16.2,2.3,1.2
햄버그스테이크,전국(대표),200,g,457.697,26.959,29.646,20.761,5.334
황태구이,전국(대표),200,g,437.57,47.8,15.4,26.9,14.2
훈제오리,전국(대표),250,g,797.14,43.058,64.066,12.078,0.27
게국지,태안,1100,g,415.25,44.9,12.1,31.7,10.8
곰치국,삼척,1000,g,419.29,54.3,11.8,23.9,2.8
굴국밥,전국(대표),650,g,683,42.4,17.8,88.4,0.3
김치국,전국(대표),450,g,89,5.4,2.8,10.5,2.9
떡만둣국,전국(대표),700,g,624.915,20.055,11.319,110.707,0.158
만둣국,전국(대표),700,g,434.05,21.429,17.445,47.832,3.048
맑은감자국,전국(대표),700,g,221,8.3,5.5,34.6,5.2
매생이국,장흥,500,g,119,10,2.8,13.4,0.4
무된장국,전국(대표),450,g,104,6.1,2.4,14.7,5.9
미소된장국,전국(대표),150,g,38,2.8,1.8,2.8,0.7
바지락조개국,전국(대표),550,g,157,22,3.1,10.1,1.3
뼈다귀해장국,전국(대표),1000,g,714,74.6,35.7,23.4,5.7
선지해장국,전국(대표),1000,g,312,49.3,5.4,16.7,3.9
소고기무국,전국(대표),400,g,123,14.2,4,7.8,3.5
소고기미역국,전국(대표),650,g,151,18.1,5.3,7.7,0
순대국,전국(대표),800,g,540.298,43.523,33.018,17.261,0
시래기된장국,전국(대표),450,g,99,6.7,3.1,11,1.3
올갱이국,괴산,600,g,144.26,13.7,4.2,13,1.6
우거지해장국,전국(대표),600,g,154.38,11.9,5.9,13.5,2.5
우렁된장국,전국(대표),500,g,245,24.6,7.7,19.2,3.6
탕국,전국(대표),250,g,92.152,13.181,4.272,0.244,0.078
홍합미역국,전국(대표),650,g,167,19.7,4.7,11.6,0
황태해장국,전국(대표),600,g,181.7,24.5,6.8,5.7,1.5
고추잡채,전국(대표),200,g,256.769,10.994,12.013,26.171,2.092
난자완스,전국(대표),200,g,346.249,21.627,20.35,19.149,0.495
도토리묵말이,대전,1300,g,462.39,6.8,8.5,89.7,6.3
라조기,전국(대표),200,g,398.993,20.659,23.491,26.234,0.15
물회,포항,700,g,529.36,34.4,18.9,55.3,20
생선물회,전국(대표),800,g,577.97,34.3,12.3,82.5,52
소고기샤브샤브,전국(대표),600,g,263.75,29.1,9.8,14.7,2.4
오징어순대,속초,350,g,466.86,45.7,5.6,58.3,0.4
초당순두부,강릉,900,g,522.69,49.1,29.2,15.8,0.9
해파리냉채,전국(대표),150,g,91,6.2,1.4,13.4,11.4
고들빼기,전국(대표),50,g,55.525,1.58,0.608,10.934,2.844
열무얼갈이김치,전국(대표),50,g,17.684,1.074,0.328,2.608,0.456
미나리나물,전국(대표),50,g,29.534,1.016,1.833,2.242,0
취나물,전국(대표),50,g,74.1,1.375,6.153,3.306,0
콩나물,전국(대표),50,g,25.344,1.68,1.65,0.944,0.02
경단(깨),전국(대표),100,g,319.466,4.442,0.536,74.219,26.64
경단(콩),전국(대표),100,g,314.324,3.513,0.461,74.031,20.55
기피편,전국(대표),100,g,219.967,5.449,0.247,48.988,2.084
녹두시루떡,전국(대표),100,g,246.07,7.738,2.534,48.077,4.048
메밀전병,전국(대표),100,g,167.827,6.185,6.289,21.62,0.619
무지개떡,전국(대표),100,g,228.974,3.53,0.312,53.011,8.985
송편(깨),전국(대표),100,g,224.146,4.925,2.735,44.957,1.146
송편(콩),전국(대표),100,g,194.334,5.237,0.749,41.661,1.261
수수부꾸미,전국(대표),100,g,247.892,5.729,6.287,42.099,0.235
수수팥떡,전국(대표),100,g,204.241,6.696,0.591,43.034,2.818
시루떡,전국(대표),100,g,217.481,5.466,0.607,47.539,3.222
쑥떡,전국(대표),100,g,248.635,3.359,0.404,57.889,10.725
절편,전국(대표),100,g,192.886,3.642,0.285,43.938,0.07
찹쌀떡,전국(대표),100,g,276.866,3.265,0.153,65.609,17.542
간자장,전국(대표),650,g,824.539,22.334,22.034,134.224,12.159
굴짬뽕,전국(대표),900,g,680.672,32.869,9.605,115.688,1.697
기스면,전국(대표),1000,g,606.931,37.819,10.724,89.785,0.504
김치라면,전국(대표),650,g,552,13.8,16.9,86.2,1.2
김치우동,전국(대표),800,g,500.177,15.548,4.601,99.144,2.128
냉김치말이국수,전국(대표),600,g,302.53,12.9,4.8,52,8.3
닭칼국수,전국(대표),900,g,663,42.2,12.8,94.7,5.3
둘깨칼국수,전국(대표),600,g,457.88,17.6,16.5,59.8,1.4
막국수,평창,1000,g,571.59,20,5.8,109.8,9.4
삼선우동,전국(대표),1000,g,691.656,47.939,8.478,105.9,0.801
삼선자장면,전국(대표),700,g,803.898,33.638,18.135,126.533,10.152
삼선짬뽕,전국(대표),900,g,662.366,39.626,10.77,101.733,1.093
쌀국수,전국(대표),600,g,320.32,15.6,4.2,55.1,4.3
열무김치국수,전국(대표),800,g,431,15,10.2,69.6,18.6
열무냉면,전국(대표),800,g,525.492,20.842,5.783,97.52,27.146
오일소스스파게티,전국(대표),400,g,646.736,19.555,23.426,89.42,1.411
올갱이국수,정선,1500,g,566,11.2,8.3,111.6,18.6
우동(일식),전국(대표),700,g,421.514,13.39,7.906,74.199,2.483
우동(중식),전국(대표),1000,g,648.471,29.452,21.022,85.366,1.099
울면,전국(대표),1000,g,728.857,37.455,7.369,128.178,0.502
자장면,전국(대표),650,g,796.503,19.771,20.321,133.631,7.795
짬뽕라면,전국(대표),750,g,689,21.3,26.3,92,1.6
치즈라면,전국(대표),600,g,595,16.8,23,80,0.9
